,feature_ID,¹à±â,ºÐ·ù,¸íÄª,À§µµ,°æµµ
0,Point_0,20,º¸¾Èµî,¿ª»ï1µ¿833,37.4933487196,127.032033186
1,Point_1,20,º¸¾Èµî,¿ª»ï1µ¿832-25,37.49283351,127.03141329399999
2,Point_2,20,º¸¾Èµî,¿ª»ï1µ¿832-27,37.4926316591,127.031508196
3,Point_3,20,º¸¾Èµî,¿ª»ï1µ¿832-28,37.4924802706,127.03158050200001
4,Point_4,20,º¸¾Èµî,¿ª»ï1µ¿832-29,37.4923433006,127.031643768
5,Point_5,20,º¸¾Èµî,¿ª»ï1µ¿832-31,37.4920297367,127.03169339
6,Point_6,20,º¸¾Èµî,¿ª»ï1µ¿837-33,37.4915755437,127.03200981399999
7,Point_7,20,º¸¾Èµî,¿ª»ï1µ¿837-15,37.4918998658,127.03215921399999
8,Point_8,20,º¸¾Èµî,¿ª»ï1µ¿837-16,37.4919574771,127.032353732
9,Point_9,20,º¸¾Èµî,¿ª»ï1µ¿836,37.4919753184,127.03300054299999
10,Point_10,20,º¸¾Èµî,¿ª»ï1µ¿836-1,37.4916221664,127.032846603
11,Point_11,20,º¸¾Èµî,¿ª»ï1µ¿836-2,37.4916617717,127.032986836
12,Point_12,20,º¸¾Èµî,¿ª»ï1µ¿836-14,37.4914851489,127.03307722
13,Point_13,20,º¸¾Èµî,¿ª»ï1µ¿836-15,37.491441941,127.032932463
14,Point_14,20,º¸¾Èµî,¿ª»ï1µ¿836-25,37.4909084751,127.033180995
15,Point_15,20,º¸¾Èµî,¿ª»ï1µ¿840-1,37.491163732800004,127.03534765
16,Point_16,20,º¸¾Èµî,¿ª»ï1µ¿840-3,37.4912501426,127.035637167
17,Point_17,20,º¸¾Èµî,¿ª»ï1µ¿840-5,37.4913221492,127.035881446
18,Point_18,20,º¸¾Èµî,¿ª»ï1µ¿835-51,37.4916536441,127.036130374
19,Point_19,20,º¸¾Èµî,¿ª»ï1µ¿799,37.4915885846,127.036736435
20,Point_20,20,º¸¾Èµî,¿ª»ï1µ¿835-52,37.4917148543,127.036320373
21,Point_21,20,º¸¾Èµî,¿ª»ï1µ¿793-52,37.4919418398,127.036542115
22,Point_22,20,º¸¾Èµî,¿ª»ï1µ¿835-68,37.4923096847,127.03577788700001
23,Point_23,20,º¸¾Èµî,¿ª»ï1µ¿793-33,37.4921904631,127.036718637
24,Point_24,20,º¸¾Èµî,¿ª»ï1µ¿835-12,37.4917836312,127.03532985
25,Point_25,20,º¸¾Èµî,¿ª»ï1µ¿834-23,37.4928722342,127.034701644
26,Point_26,20,º¸¾Èµî,¿ª»ï1µ¿834-24,37.4929695562,127.03465645799999
27,Point_27,20,º¸¾Èµî,¿ª»ï1µ¿834-68,37.493052322,127.03508619700001
28,Point_28,20,º¸¾Èµî,¿ª»ï1µ¿834-72,37.4933118549,127.03494157600001
29,Point_29,20,º¸¾Èµî,¿ª»ï1µ¿834-73,37.4934560308,127.03489188799999
30,Point_30,20,º¸¾Èµî,¿ª»ï1µ¿834-52,37.493852535100004,127.034684005
31,Point_31,20,º¸¾Èµî,¿ª»ï1µ¿834-75,37.493574985,127.034819572
32,Point_32,20,º¸¾Èµî,¿ª»ï1µ¿834-54,37.493989381300004,127.03504592600001
33,Point_33,20,º¸¾Èµî,¿ª»ï1µ¿793-24,37.4924969299,127.036316229
34,Point_34,20,º¸¾Èµî,¿ª»ï1µ¿793-12,37.4928573077,127.03639782
35,Point_35,20,º¸¾Èµî,¿ª»ï1µ¿ 652-16,37.5073706664,127.036549634
36,Point_36,20,º¸¾Èµî,¿ª»ï1µ¿ 658-7,37.5069959029,127.036373015
37,Point_37,20,º¸¾Èµî,¿ª»ï1µ¿ 652-15,37.5075040598,127.03640493
38,Point_38,20,º¸¾Èµî,¿ª»ï1µ¿ 651-15,37.5071870406,127.035965946
39,Point_39,20,º¸¾Èµî,¿ª»ï1µ¿ 658-5,37.5070139827,127.036178492
40,Point_40,20,º¸¾Èµî,¿ª»ï1µ¿ 651-16,37.5071294312,127.035784958
41,Point_41,20,º¸¾Èµî,¿ª»ï1µ¿ 651-2,37.5073997955,127.03557698200001
42,Point_42,20,º¸¾Èµî,¿ª»ï1µ¿ 658-1,37.5068807703,127.035730552
43,Point_43,20,º¸¾Èµî,¿ª»ï1µ¿748-18,37.4956684085,127.036530361
44,Point_44,20,º¸¾Èµî,¿ª»ï1µ¿748-29,37.4956178848,127.036747455
45,Point_45,20,º¸¾Èµî,¿ª»ï1µ¿745-19,37.496547596199996,127.037155015
46,Point_46,20,º¸¾Èµî,¿ª»ï1µ¿746-16,37.4967565038,127.037553176
47,Point_47,20,º¸¾Èµî,¿ª»ï1µ¿746-7,37.4970483404,127.03783377399999
48,Point_48,20,º¸¾Èµî,¿ª»ï1µ¿746-9,37.497159956,127.038173086
49,Point_49,20,º¸¾Èµî,¿ª»ï1µ¿746-29,37.4972105389,127.037779575
50,Point_50,20,º¸¾Èµî,¿ª»ï1µ¿745-6,37.4972899627,127.03735441299999
51,Point_51,20,º¸¾Èµî,¿ª»ï1µ¿738-32,37.4978304095,127.037847739
52,Point_52,20,º¸¾Èµî,¿ª»ï1µ¿745-3,37.4975673908,127.03761238700001
53,Point_53,20,º¸¾Èµî,¿ª»ï1µ¿738-4,37.4987533319,127.03692540899999
54,Point_54,20,º¸¾Èµî,¿ª»ï1µ¿738-42,37.497697351199996,127.036929412
55,Point_55,20,º¸¾Èµî,¿ª»ï1µ¿745-8,37.497369375,127.036960915
56,Point_56,20,º¸¾Èµî,¿ª»ï1µ¿744-10,37.4968902194,127.03638168399999
57,Point_57,20,º¸¾Èµî,¿ª»ï1µ¿745-20,37.496652229,127.036784149
58,Point_58,20,º¸¾Èµî,¿ª»ï1µ¿744-9,37.4967496804,127.036322811
59,Point_59,20,º¸¾Èµî,¿ª»ï1µ¿748,37.4962847291,127.036426623
60,Point_60,20,º¸¾Èµî,¿ª»ï1µ¿748-1,37.496241427600005,127.03659849
61,Point_61,20,º¸¾Èµî,¿ª»ï1µ¿748-23,37.4961116321,127.036761267
62,Point_62,20,º¸¾Èµî,¿ª»ï1µ¿748-4,37.496003660999996,127.036277217
63,Point_63,20,º¸¾Èµî,¿ª»ï1µ¿ 624-10,37.5041322368,127.031006359
64,Point_64,20,º¸¾Èµî,¿ª»ï1µ¿ 624-38,37.5037935731,127.030567409
65,Point_65,20,º¸¾Èµî,¿ª»ï1µ¿ 624-45,37.5037825775,127.031268595
66,Point_66,20,º¸¾Èµî,¿ª»ï1µ¿ 624-15,37.5038437762,127.03153100200001
67,Point_67,20,º¸¾Èµî,¿ª»ï1µ¿ 624-12,37.5043663774,127.03146336399999
68,Point_68,20,º¸¾Èµî,¿ª»ï1µ¿ 612-8,37.5045068652,127.031721283
69,Point_69,20,º¸¾Èµî,¿ª»ï1µ¿ 612-7,37.5046906301,127.031870649
70,Point_70,20,º¸¾Èµî,¿ª»ï1µ¿ 610-7,37.5050689702,127.03217391
71,Point_71,20,º¸¾Èµî,¿ª»ï1µ¿ 612-6,37.5047915926,127.03168521299999
72,Point_72,20,º¸¾Èµî,¿ª»ï1µ¿ 612-5,37.5049285817,127.031549554
73,Point_73,20,º¸¾Èµî,¿ª»ï1µ¿ 613-24,37.5051917988,127.031083703
74,Point_74,20,º¸¾Èµî,¿ª»ï1µ¿ 611,37.5054476389,127.031255718
75,Point_75,20,º¸¾Èµî,¿ª»ï1µ¿ 605,37.5064025582,127.03180351700001
76,Point_76,20,º¸¾Èµî,¿ª»ï1µ¿ 610,37.5055879504,127.032169609
77,Point_77,20,º¸¾Èµî,¿ª»ï1µ¿ 611-3,37.5054727635,127.031644785
78,Point_78,20,º¸¾Èµî,¿ª»ï1µ¿ 652-13,37.5075039773,127.036671848
79,Point_79,20,º¸¾Èµî,¿ª»ï1µ¿ 635-13,37.499879887,127.029453013
80,Point_80,20,º¸¾Èµî,¿ª»ï1µ¿ 635-11,37.4999772964,127.02904592899999
81,Point_81,20,º¸¾Èµî,¿ª»ï1µ¿ 819-4,37.4995267409,127.02925836200001
82,Point_82,20,º¸¾Èµî,¿ª»ï1µ¿ 649-2,37.4997536061,127.03000936299999
83,Point_83,20,º¸¾Èµî,¿ª»ï1µ¿ 649-4,37.4998796428,127.030416535
84,Point_84,20,º¸¾Èµî,¿ª»ï1µ¿ 635-1,37.5009609621,127.029978181
85,Point_85,20,º¸¾Èµî,¿ª»ï1µ¿ 635-12,37.500042070300005,127.02944403
86,Point_86,20,º¸¾Èµî,¿ª»ï1µ¿ 635-9,37.5002511285,127.02934459299999
87,Point_87,20,º¸¾Èµî,¿ª»ï1µ¿ 635-6,37.5006656494,127.029109527
88,Point_88,20,º¸¾Èµî,¿ª»ï1µ¿ 622-10,37.502910881700004,127.029408966
89,Point_89,20,º¸¾Èµî,¿ª»ï1µ¿ 622-4,37.5030730357,127.02951760100001
90,Point_90,20,º¸¾Èµî,¿ª»ï1µ¿ 634,37.5031414154,127.02990214799999
91,Point_91,20,º¸¾Èµî,¿ª»ï1µ¿ 623-15,37.503426160500005,127.02979369100001
92,Point_92,20,º¸¾Èµî,¿ª»ï1µ¿ 623-14,37.5035234474,127.029879682
93,Point_93,20,º¸¾Èµî,¿ª»ï1µ¿ 623-17,37.5032278417,127.03017813299999
94,Point_94,20,º¸¾Èµî,¿ª»ï1µ¿ 623-19,37.503061973099996,127.030503778
95,Point_95,20,º¸¾Èµî,¿ª»ï1µ¿ 634-4,37.5028566378,127.03013727
96,Point_96,20,º¸¾Èµî,¿ª»ï1µ¿ 633-9,37.5024492459,127.030670907
