,명칭,주소,위도,경도,분류
0,역삼1동833,서울특별시 강남구 역삼1동833,37.4933487196,127.032033186,보안등
1,역삼1동832-25,서울특별시 강남구 역삼1동832-25,37.49283351,127.03141329399999,보안등
2,역삼1동832-27,서울특별시 강남구 역삼1동832-27,37.4926316591,127.031508196,보안등
3,역삼1동832-28,서울특별시 강남구 역삼1동832-28,37.4924802706,127.03158050200001,보안등
4,역삼1동832-29,서울특별시 강남구 역삼1동832-29,37.4923433006,127.031643768,보안등
5,역삼1동832-31,서울특별시 강남구 역삼1동832-31,37.4920297367,127.03169339,보안등
6,역삼1동837-33,서울특별시 강남구 역삼1동837-33,37.4915755437,127.03200981399999,보안등
7,역삼1동837-15,서울특별시 강남구 역삼1동837-15,37.4918998658,127.03215921399999,보안등
8,역삼1동837-16,서울특별시 강남구 역삼1동837-16,37.4919574771,127.032353732,보안등
9,역삼1동836,서울특별시 강남구 역삼1동836,37.4919753184,127.03300054299999,보안등
10,역삼1동836-1,서울특별시 강남구 역삼1동836-1,37.4916221664,127.032846603,보안등
11,역삼1동836-2,서울특별시 강남구 역삼1동836-2,37.4916617717,127.032986836,보안등
12,역삼1동836-14,서울특별시 강남구 역삼1동836-14,37.4914851489,127.03307722,보안등
13,역삼1동836-15,서울특별시 강남구 역삼1동836-15,37.491441941,127.032932463,보안등
14,역삼1동836-25,서울특별시 강남구 역삼1동836-25,37.4909084751,127.033180995,보안등
15,역삼1동840-1,서울특별시 강남구 역삼1동840-1,37.491163732800004,127.03534765,보안등
16,역삼1동840-3,서울특별시 강남구 역삼1동840-3,37.4912501426,127.035637167,보안등
17,역삼1동840-5,서울특별시 강남구 역삼1동840-5,37.4913221492,127.035881446,보안등
18,역삼1동835-51,서울특별시 강남구 역삼1동835-51,37.4916536441,127.036130374,보안등
19,역삼1동799,서울특별시 강남구 역삼1동799,37.4915885846,127.036736435,보안등
20,역삼1동835-52,서울특별시 강남구 역삼1동835-52,37.4917148543,127.036320373,보안등
21,역삼1동793-52,서울특별시 강남구 역삼1동793-52,37.4919418398,127.036542115,보안등
22,역삼1동835-68,서울특별시 강남구 역삼1동835-68,37.4923096847,127.03577788700001,보안등
