,LINK_NO,RDS_MAN_NO,RN,RN_CD,SP,EP,LUX
0,LINK_0,12,역삼로,3122008,"[37.493107479897255, 127.0302380152928]","[37.493325499009345, 127.03095311761676]",12.1785
1,LINK_1,12,역삼로,3122008,"[37.493325499009345, 127.03095311761676]","[37.493570737122525, 127.0317577936122]",12.1785
2,LINK_2,12,역삼로,3122008,"[37.493570737122525, 127.0317577936122]","[37.493818301322776, 127.03257011999749]",0.0
3,LINK_3,12,역삼로,3122008,"[37.493818301322776, 127.03257011999749]","[37.49387965126336, 127.03277182263642]",14.1985
4,LINK_4,12,역삼로,3122008,"[37.49387965126336, 127.03277182263642]","[37.493917325330926, 127.03289544556885]",28.397
5,LINK_5,12,역삼로,3122008,"[37.493917325330926, 127.03289544556885]","[37.493961487113545, 127.03305041701414]",14.1985
6,LINK_6,12,역삼로,3122008,"[37.493961487113545, 127.03305041701414]","[37.49406754069412, 127.03339765037495]",12.1785
7,LINK_7,12,역삼로,3122008,"[37.49406754069412, 127.03339765037495]","[37.49408329435522, 127.03344887090309]",24.357
8,LINK_8,12,역삼로,3122008,"[37.49408329435522, 127.03344887090309]","[37.49412239902862, 127.03357718793572]",24.357
9,LINK_9,12,역삼로,3122008,"[37.49412239902862, 127.03357718793572]","[37.49413787329573, 127.03362843103541]",24.357
10,LINK_10,12,역삼로,3122008,"[37.49413787329573, 127.03362843103541]","[37.494194056397035, 127.03380559482477]",24.357
11,LINK_11,12,역삼로,3122008,"[37.494194056397035, 127.03380559482477]","[37.49419449197357, 127.03380704052677]",24.357
12,LINK_12,12,역삼로,3122008,"[37.49419449197357, 127.03380704052677]","[37.494201955221854, 127.03383181146195]",12.1785
13,LINK_13,12,역삼로,3122008,"[37.494201955221854, 127.03383181146195]","[37.494203355284185, 127.033836458349]",0.0
14,LINK_14,12,역삼로,3122008,"[37.494203355284185, 127.033836458349]","[37.494247327676646, 127.0339875861362]",0.0
15,LINK_15,12,역삼로,3122008,"[37.494247327676646, 127.0339875861362]","[37.49434617713537, 127.03431092515166]",0.0
16,LINK_16,12,역삼로,3122008,"[37.49434617713537, 127.03431092515166]","[37.494358626588685, 127.03435186562521]",0.0
17,LINK_17,12,역삼로,3122008,"[37.494358626588685, 127.03435186562521]","[37.49460102370304, 127.035148375506]",26.377
18,LINK_18,12,역삼로,3122008,"[37.49460102370304, 127.035148375506]","[37.49482678182369, 127.03588698547584]",49.442499999999995
19,LINK_19,12,역삼로,3122008,"[37.49482678182369, 127.03588698547584]","[37.49485686414985, 127.03598679319494]",63.641
20,LINK_20,12,역삼로,3122008,"[37.49485686414985, 127.03598679319494]","[37.49490441857678, 127.03614197351291]",68.9725
21,LINK_21,12,역삼로,3122008,"[37.49490441857678, 127.03614197351291]","[37.494959272727925, 127.03632152638953]",42.5955
22,LINK_22,12,역삼로,3122008,"[37.494959272727925, 127.03632152638953]","[37.49501409059903, 127.03650096643065]",14.1985
23,LINK_23,12,역삼로,3122008,"[37.49501409059903, 127.03650096643065]","[37.49506868289669, 127.03668057625009]",0.0
24,LINK_24,12,역삼로,3122008,"[37.49506868289669, 127.03668057625009]","[37.49512351822428, 127.03686007336417]",0.0
