,명칭,주소,위도,경도,분류
0,도곡지구대,서울특별시 강남구 역삼동 711-4,37.5013221,127.0440285,파출소
1,역삼지구대,서울특별시 강남구 언주로108길 20 U-강남도시관제센터,37.5159254,127.0520605,파출소
2,역서치안센타,서울특별시 강남구 역삼로 117,37.4938191,127.0321969,파출소
3,역서파출소앞공중전화(옥외),서울특별시 강남구 역삼로 117,37.4938191,127.0321969,파출소
4,서울지방경찰청국제범죄수사대,서울특별시 강남구 테헤란로27길 33 역삼1동 파출소,37.5033779,127.037102,파출소
5,양재파출소,서울특별시 서초구 남부순환로356길 9,37.48450649999999,127.0378022,파출소
6,신사파출소,서울특별시 강남구 도산대로 143,37.5183314,127.0241191,파출소
7,논현1파출소,서울특별시 강남구 학동로 169 논현1파출소,37.5137746,127.0293197,파출소
8,서울서초경찰서서초파출소,서울특별시 서초구 효령로 297 서초파출소,37.4852476,127.0167262,파출소
9,서초2파출소,서울특별시 서초구 서초동 1356-6,37.4874798,127.0289633,파출소
10,삼성2파출소,서울특별시 강남구 선릉로 626 교통정보센터,37.4932119,127.0589359,파출소
11,논현2파출소,서울특별시 강남구 학동로 227 논현2파출소,37.515181,127.0338544,파출소
12,개포지구대,서울특별시 강남구 개포동 1268-2,37.4806751,127.0512576,파출소
13,도곡치안센타,서울특별시 강남구 남부순환로378길 29,37.4845355,127.0468249,파출소
