,명칭,주소,위도,경도,분류
0,GS25 강남메트로점,서울특별시 강남구 테헤란로 101 강남역지하쇼핑센터 A-10,37.4985723,127.0280428,편의점
1,GS25 지에스강남점,서울특별시 강남구 논현로 508 GS타워,37.502423,127.037589,편의점
2,CU 925신논현역점,서울특별시 강남구 봉은사로 102,37.5045961,127.0250184,편의점
3,미니스톱 강남시티3점,서울특별시 강남구 테헤란로 103 명선상가빌딩,37.4984765,127.0283403,편의점
4,CU M강남역점,서울특별시 강남구 테헤란로 101 이즈타워,37.4921837,127.02905,편의점
5,CU 역삼점,서울특별시 강남구 테헤란로51길 10 정다운빌딩,37.5047409,127.0469651,편의점
6,세븐일레븐 역삼8호점,서울특별시 강남구 강남대로102길 11,37.5018853,127.0267173,편의점
7,세븐일레븐 KT강남점,서울특별시 강남구 언주로 517 102호202호,37.5046955,127.0412371,편의점
8,GS25 지에스본점,서울특별시 강남구 논현로93길 3 양빌딩,37.5018235,127.0358813,편의점
9,이마트24 R강남역삼점,서울특별시 강남구 강남대로 428 만이빌딩,37.5007937,127.0268277,편의점
10,GS25 역삼지에스점,서울특별시 강남구 봉은사로30길 78 1층,37.50244989999999,127.0370065,편의점
11,GS25 역삼프리미엄점,서울특별시 강남구 논현로94길 32 1층,37.50286870000001,127.0389781,편의점
12,GS25 강남시티힐점,서울특별시 강남구 강남대로98길 17 시티힐 빌딩,37.5009906,127.0279221,편의점
13,CU 역삼본점,서울특별시 강남구 강남대로110길 11,37.5040242,127.0257044,편의점
14,미니스톱 강남센터점,서울특별시 강남구 강남대로96길 5,37.4997792,127.0274413,편의점
15,이마트24 역삼휴먼터치빌점,서울특별시 강남구 논현로 565,37.5064572,127.0337383,편의점
16,GS25 강남YBM점,서울특별시 강남구 강남대로94길 9,37.4994466,127.0280846,편의점
17,세븐일레븐 역삼GFC점,서울특별시 강남구 테헤란로 152 강남파이낸스센터,37.4999821,127.0364005,편의점
18,GS25 차병원본점,서울특별시 강남구 논현로 566 차병원,37.5065713,127.0348,편의점
19,CU 역삼역촌점,서울특별시 강남구 봉은사로26길 14,37.5059304,127.0331185,편의점
20,GS25 강남타운점,서울특별시 강남구 테헤란로 115 동원빌딩,37.4990162,127.029877,편의점
21,CU 역삼성보점,서울특별시 강남구 테헤란로44길 7,37.5023634,127.0448872,편의점
22,CU 국기원사거리점,서울특별시 강남구 테헤란로8길 11,37.4981707,127.0315911,편의점
23,세븐일레븐 역삼개나리점,서울특별시 강남구 역삼로 306 개나리 래미안,37.4986101,127.0458492,편의점
24,CU 역삼하나점,서울특별시 강남구 테헤란로25길 59,37.5042701,127.0341442,편의점
25,이마트24 강남역점,서울특별시 강남구 테헤란로 101,37.4986253,127.0280285,편의점
26,세븐일레븐 역삼보브점,서울특별시 강남구 봉은사로 114 보브빌딩,37.5046821,127.0261332,편의점
27,스타편의점,서울특별시 강남구 강남대로 442 흥국생명빌딩,37.5021078,127.0261636,편의점
28,CU 강남센타점,서울특별시 강남구 강남대로 388,37.4974272,127.0283935,편의점
29,GS25 S강남역1호점,서울특별시 강남구 강남대로 396 강남역,37.4872446,127.0327813,편의점
30,GS25 역삼충현점,서울특별시 강남구 논현로102길 33,37.5057148,127.0377235,편의점
31,세븐일레븐 역삼영화점,서울특별시 강남구 역삼로19길 26,37.4967146,127.0375449,편의점
32,CU M역삼역점,서울특별시 강남구 테헤란로 156 역삼역,37.4981284,127.028303,편의점
33,CU 역삼강남점,서울특별시 강남구 강남대로94길 23,37.4997088,127.0291816,편의점
34,CU 역삼건화점,서울특별시 강남구 논현로64길 18 경풍빌딩,37.4934709,127.0419693,편의점
35,CU 역삼진미점,서울특별시 강남구 강남대로94길 88,37.500712,127.0342726,편의점
36,CU 큰길타워점,서울특별시 강남구 테헤란로 223,37.5023634,127.0406629,편의점
37,GS25 역삼거북점,서울특별시 강남구 논현로98길 7,37.5037266,127.0363318,편의점
38,GS25 역삼캐피탈점,서울특별시 강남구 논현로87길 23,37.49933680000001,127.034909,편의점
39,GS25 강남리츠칼튼점,서울특별시 강남구 강남대로110길 26,37.5035911,127.0269451,편의점
40,GS25 역삼상록점,서울특별시 강남구 테헤란로43길 12,37.5040393,127.0439836,편의점
41,GS25 역삼아워홈점,서울특별시 강남구 역삼로3길 10 1층,37.4942198,127.0316173,편의점
42,GS25 역삼로점,서울특별시 강남구 강남대로 338 102호,37.4933603,127.030415,편의점
43,세븐일레븐 르네상스점,서울특별시 강남구 테헤란로37길 15,37.5031143,127.040374,편의점
44,GS25 S강남역2호점,서울특별시 강남구 강남대로 396 강남역,37.4872446,127.0327813,편의점
45,GS25 역삼띵동점,서울특별시 강남구 언주로98길 7 1층,37.5051125,127.0424329,편의점
46,GS25 역삼스타점,서울특별시 강남구 논현로85길 5,37.4990343,127.037039,편의점
47,GS25 강남쉐르빌점,서울특별시 강남구 강남대로 328,37.4872446,127.0327813,편의점
48,세븐일레븐 역삼발렌타인점,서울특별시 강남구 강남대로66길 7,37.49187999999999,127.0314259,편의점
49,미니스톱 역삼태극점,서울특별시 강남구 강남대로7길 8,37.5087501,127.021665,편의점
50,GS25 역삼성보점,서울특별시 강남구 테헤란로52길 16 상가 12호,37.5030366,127.0479111,편의점
51,CU 역삼시티점,서울특별시 강남구 테헤란로7길 7,37.4995941,127.0304599,편의점
52,CU 강남시티점,서울특별시 강남구 선릉로93길 50,37.5042746,127.0447277,편의점
53,CU 선릉SK허브점,서울특별시 강남구 선릉로 431 에스케이허브 오피스텔,37.5033975,127.0490938,편의점
54,GS25 강남태양점,서울특별시 강남구 봉은사로4길 29,37.5029389,127.0268529,편의점
55,미니스톱 역삼타워점,서울특별시 강남구 강남대로84길 16 제이스타워,37.496674,127.030124,편의점
56,세븐일레븐 역삼18호점,서울특별시 강남구 도곡로37길 16,37.4948035,127.0451011,편의점
57,CU 역삼화랑점,서울특별시 강남구 역삼로20길 9,37.4946782,127.0376559,편의점
58,CU 역삼로즈점,서울특별시 강남구 언주로 311,37.4952482,127.0457196,편의점
59,GS25 역삼타운점,서울특별시 강남구 언주로69길 7 농협,37.4963917,127.0447167,편의점
60,세븐일레븐 강남푸르지오시티점,서울특별시 강남구 테헤란로4길 6 126호),37.497689,127.029031,편의점
61,세븐일레븐 역삼한서점,서울특별시 강남구 테헤란로38길 11,37.501265,127.0417684,편의점
62,GS25 개나리SK점,서울특별시 강남구 역삼로 315 107호 ,37.5005166,127.0502997,편의점
63,GS25 강남N타워점,서울특별시 강남구 테헤란로 129 강남N타워 GF층 7호 ,37.4985996,127.0280499,편의점
64,GS25 역삼사랑점,서울특별시 강남구 테헤란로55길 27,37.5059151,127.0465317,편의점
65,세븐일레븐 역삼한은점,서울특별시 강남구 테헤란로 204 범진빌딩,37.5094878,127.0639905,편의점
66,GS25 역삼기쁨점,서울특별시 강남구 테헤란로25길 39 mk빌딩,37.5099316,127.0321881,편의점
67,세븐일레븐 역삼14호점,서울특별시 강남구 논현로105길 53,37.5051353,127.029989,편의점
