,명칭,주소,위도,경도,분류
0,도곡지구대,서울특별시 강남구 역삼동 711-4,37.5013221,127.0440285,파출소
1,역삼지구대,서울특별시 강남구 언주로108길 20 U-강남도시관제센터,37.5159254,127.0520605,파출소
2,역서치안센타,서울특별시 강남구 역삼로 117,37.4938191,127.0321969,파출소
3,역서파출소앞공중전화(옥외),서울특별시 강남구 역삼로 117,37.4938191,127.0321969,파출소
4,서울지방경찰청국제범죄수사대,서울특별시 강남구 테헤란로27길 33 역삼1동 파출소,37.5033779,127.037102,파출소
5,양재파출소,서울특별시 서초구 남부순환로356길 9,37.48450649999999,127.0378022,파출소
6,신사파출소,서울특별시 강남구 도산대로 143,37.5183314,127.0241191,파출소
7,논현1파출소,서울특별시 강남구 학동로 169 논현1파출소,37.5137746,127.0293197,파출소
8,서울서초경찰서서초파출소,서울특별시 서초구 효령로 297 서초파출소,37.4852476,127.0167262,파출소
9,서초2파출소,서울특별시 서초구 서초동 1356-6,37.4874798,127.0289633,파출소
10,삼성2파출소,서울특별시 강남구 선릉로 626 교통정보센터,37.4932119,127.0589359,파출소
11,논현2파출소,서울특별시 강남구 학동로 227 논현2파출소,37.515181,127.0338544,파출소
12,개포지구대,서울특별시 강남구 개포동 1268-2,37.4806751,127.0512576,파출소
13,도곡치안센타,서울특별시 강남구 남부순환로378길 29,37.4845355,127.0468249,파출소
14,GS25 강남메트로점,서울특별시 강남구 테헤란로 101 강남역지하쇼핑센터 A-10,37.4985723,127.0280428,편의점
15,GS25 지에스강남점,서울특별시 강남구 논현로 508 GS타워,37.502423,127.037589,편의점
16,CU 925신논현역점,서울특별시 강남구 봉은사로 102,37.5045961,127.0250184,편의점
17,미니스톱 강남시티3점,서울특별시 강남구 테헤란로 103 명선상가빌딩,37.4984765,127.0283403,편의점
18,CU M강남역점,서울특별시 강남구 테헤란로 101 이즈타워,37.4921837,127.02905,편의점
19,CU 역삼점,서울특별시 강남구 테헤란로51길 10 정다운빌딩,37.5047409,127.0469651,편의점
20,세븐일레븐 역삼8호점,서울특별시 강남구 강남대로102길 11,37.5018853,127.0267173,편의점
21,세븐일레븐 KT강남점,서울특별시 강남구 언주로 517 102호202호,37.5046955,127.0412371,편의점
22,GS25 지에스본점,서울특별시 강남구 논현로93길 3 양빌딩,37.5018235,127.0358813,편의점
23,이마트24 R강남역삼점,서울특별시 강남구 강남대로 428 만이빌딩,37.5007937,127.0268277,편의점
24,GS25 역삼지에스점,서울특별시 강남구 봉은사로30길 78 1층,37.50244989999999,127.0370065,편의점
25,GS25 역삼프리미엄점,서울특별시 강남구 논현로94길 32 1층,37.50286870000001,127.0389781,편의점
26,GS25 강남시티힐점,서울특별시 강남구 강남대로98길 17 시티힐 빌딩,37.5009906,127.0279221,편의점
27,CU 역삼본점,서울특별시 강남구 강남대로110길 11,37.5040242,127.0257044,편의점
28,미니스톱 강남센터점,서울특별시 강남구 강남대로96길 5,37.4997792,127.0274413,편의점
29,이마트24 역삼휴먼터치빌점,서울특별시 강남구 논현로 565,37.5064572,127.0337383,편의점
30,GS25 강남YBM점,서울특별시 강남구 강남대로94길 9,37.4994466,127.0280846,편의점
31,세븐일레븐 역삼GFC점,서울특별시 강남구 테헤란로 152 강남파이낸스센터,37.4999821,127.0364005,편의점
32,GS25 차병원본점,서울특별시 강남구 논현로 566 차병원,37.5065713,127.0348,편의점
33,CU 역삼역촌점,서울특별시 강남구 봉은사로26길 14,37.5059304,127.0331185,편의점
34,GS25 강남타운점,서울특별시 강남구 테헤란로 115 동원빌딩,37.4990162,127.029877,편의점
35,CU 역삼성보점,서울특별시 강남구 테헤란로44길 7,37.5023634,127.0448872,편의점
36,CU 국기원사거리점,서울특별시 강남구 테헤란로8길 11,37.4981707,127.0315911,편의점
37,세븐일레븐 역삼개나리점,서울특별시 강남구 역삼로 306 개나리 래미안,37.4986101,127.0458492,편의점
38,CU 역삼하나점,서울특별시 강남구 테헤란로25길 59,37.5042701,127.0341442,편의점
39,이마트24 강남역점,서울특별시 강남구 테헤란로 101,37.4986253,127.0280285,편의점
40,세븐일레븐 역삼보브점,서울특별시 강남구 봉은사로 114 보브빌딩,37.5046821,127.0261332,편의점
41,스타편의점,서울특별시 강남구 강남대로 442 흥국생명빌딩,37.5021078,127.0261636,편의점
42,CU 강남센타점,서울특별시 강남구 강남대로 388,37.4974272,127.0283935,편의점
43,GS25 S강남역1호점,서울특별시 강남구 강남대로 396 강남역,37.4872446,127.0327813,편의점
44,GS25 역삼충현점,서울특별시 강남구 논현로102길 33,37.5057148,127.0377235,편의점
45,세븐일레븐 역삼영화점,서울특별시 강남구 역삼로19길 26,37.4967146,127.0375449,편의점
46,CU M역삼역점,서울특별시 강남구 테헤란로 156 역삼역,37.4981284,127.028303,편의점
47,CU 역삼강남점,서울특별시 강남구 강남대로94길 23,37.4997088,127.0291816,편의점
48,CU 역삼건화점,서울특별시 강남구 논현로64길 18 경풍빌딩,37.4934709,127.0419693,편의점
49,CU 역삼진미점,서울특별시 강남구 강남대로94길 88,37.500712,127.0342726,편의점
50,CU 큰길타워점,서울특별시 강남구 테헤란로 223,37.5023634,127.0406629,편의점
51,GS25 역삼거북점,서울특별시 강남구 논현로98길 7,37.5037266,127.0363318,편의점
52,GS25 역삼캐피탈점,서울특별시 강남구 논현로87길 23,37.49933680000001,127.034909,편의점
53,GS25 강남리츠칼튼점,서울특별시 강남구 강남대로110길 26,37.5035911,127.0269451,편의점
54,GS25 역삼상록점,서울특별시 강남구 테헤란로43길 12,37.5040393,127.0439836,편의점
55,GS25 역삼아워홈점,서울특별시 강남구 역삼로3길 10 1층,37.4942198,127.0316173,편의점
56,GS25 역삼로점,서울특별시 강남구 강남대로 338 102호,37.4933603,127.030415,편의점
57,세븐일레븐 르네상스점,서울특별시 강남구 테헤란로37길 15,37.5031143,127.040374,편의점
58,GS25 S강남역2호점,서울특별시 강남구 강남대로 396 강남역,37.4872446,127.0327813,편의점
59,GS25 역삼띵동점,서울특별시 강남구 언주로98길 7 1층,37.5051125,127.0424329,편의점
60,GS25 역삼스타점,서울특별시 강남구 논현로85길 5,37.4990343,127.037039,편의점
61,GS25 강남쉐르빌점,서울특별시 강남구 강남대로 328,37.4872446,127.0327813,편의점
62,세븐일레븐 역삼발렌타인점,서울특별시 강남구 강남대로66길 7,37.49187999999999,127.0314259,편의점
63,미니스톱 역삼태극점,서울특별시 강남구 강남대로7길 8,37.5087501,127.021665,편의점
64,GS25 역삼성보점,서울특별시 강남구 테헤란로52길 16 상가 12호,37.5030366,127.0479111,편의점
65,CU 역삼시티점,서울특별시 강남구 테헤란로7길 7,37.4995941,127.0304599,편의점
66,CU 강남시티점,서울특별시 강남구 선릉로93길 50,37.5042746,127.0447277,편의점
67,CU 선릉SK허브점,서울특별시 강남구 선릉로 431 에스케이허브 오피스텔,37.5033975,127.0490938,편의점
68,GS25 강남태양점,서울특별시 강남구 봉은사로4길 29,37.5029389,127.0268529,편의점
69,미니스톱 역삼타워점,서울특별시 강남구 강남대로84길 16 제이스타워,37.496674,127.030124,편의점
70,세븐일레븐 역삼18호점,서울특별시 강남구 도곡로37길 16,37.4948035,127.0451011,편의점
71,CU 역삼화랑점,서울특별시 강남구 역삼로20길 9,37.4946782,127.0376559,편의점
72,CU 역삼로즈점,서울특별시 강남구 언주로 311,37.4952482,127.0457196,편의점
73,GS25 역삼타운점,서울특별시 강남구 언주로69길 7 농협,37.4963917,127.0447167,편의점
74,세븐일레븐 강남푸르지오시티점,서울특별시 강남구 테헤란로4길 6 126호),37.497689,127.029031,편의점
75,세븐일레븐 역삼한서점,서울특별시 강남구 테헤란로38길 11,37.501265,127.0417684,편의점
76,GS25 개나리SK점,서울특별시 강남구 역삼로 315 107호 ,37.5005166,127.0502997,편의점
77,GS25 강남N타워점,서울특별시 강남구 테헤란로 129 강남N타워 GF층 7호 ,37.4985996,127.0280499,편의점
78,GS25 역삼사랑점,서울특별시 강남구 테헤란로55길 27,37.5059151,127.0465317,편의점
79,세븐일레븐 역삼한은점,서울특별시 강남구 테헤란로 204 범진빌딩,37.5094878,127.0639905,편의점
80,GS25 역삼기쁨점,서울특별시 강남구 테헤란로25길 39 mk빌딩,37.5099316,127.0321881,편의점
